Algorithm,Score,Extra Training Data,Paper title,Date,Game
MuZero (Res2 Adam),171673,False,,2021-04-13,riverraid
Advantage Learning,-4.15,False,,,surround
Persistent AL,0.72,False,,,surround
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Random,227.75,,,,alien
Random,5.77,,,,amidar
Random,222.39,,,,assault
Random,210,,,,asterix
Random,719.1,,,,asteroids
Random,12850,,,,atlantis
Random,14.2,,,,bank heist
Random,2360,,,,battle zone
Random,363.88,,,,beam rider
Random,123.65,,,,berzerk
Random,23.11,,,,bowling
Random,0.05,,,,boxing
Random,1.72,,,,breakout
Random,2090.87,,,,centipede
Random,811,,,,chopper command
Random,10780.5,,,,crazy climber
Random,2874.5,,,,defender
Random,152.07,,,,demon attack
Random,-18.55,,,,double dunk
Random,0,,,,enduro
Random,-91.71,,,,fishing derby
Random,0.01,,,,freeway
Random,65.2,,,,frostbite
Random,257.6,,,,gopher
Random,173,,,,gravitar
Random,1026.97,,,,hero
Random,-11.15,,,,ice hockey
Random,29,,,,James bond
Random,52,,,,kangaroo
Random,1598.05,,,,krull
Random,258.5,,,,kung fu master
Random,0,,,,montezuma revenge
Random,307.3,,,,ms pacman
Random,2292.35,,,,name this game
Random,761.4,,,,phoenix
Random,-229.44,,,,pitfall
Random,-20.71,,,,pong
Random,24.94,,,,private eye
Random,163.88,,,,qbert
Random,1338.5,,,,riverraid
Random,11.5,,,,road runner
Random,2.16,,,,robotank
Random,68.4,,,,seaquest
Random,-17098.09,,,,skiing
Random,1236.3,,,,solaris
Random,148.3,,,,space invaders
Random,664,,,,star gunner
Random,-23.84,,,,tennis
Random,3568,,,,time pilot
Random,11.43,,,,tutankham
Random,533.4,,,,up n down
Random,0,,,,venture
Random,0,,,,video pinball
Random,563.5,,,,wizard of wor
